Time RV eRV BIS FWHM S.index
55085.92463 -7.014 0.686 -0.000114 -0.015413 -4.9873
55086.837897 -7.45 0.693 -0.003068 -0.020023 -4.9933
55086.904876 -8.905 0.686 -0.001622 -0.017762 -4.9908
55090.849281 -9.22 0.673 -0.003781 -0.023678 -4.9984
55091.827476 -11.114 0.707 -0.004779 -0.020039 -4.9981
55091.919249 -7.898 0.781 0.000325 -0.01825 -4.9918
55096.919798 -11.715 0.729 -0.004425 -0.027408 -5.0027
55114.854568 -5.654 0.729 -0.002553 -0.020474 -4.9948
55115.81989 -4.59 0.721 -0.003027 -0.018933 -4.9898
55116.84632 -5.415 0.736 -0.002361 -0.024049 -4.9925
55117.837526 -5.205 0.721 -0.006651 -0.020897 -4.9919
55118.86356 -2.282 0.721 -0.00249 -0.020145 -4.9905
55119.823454 -2.083 0.714 -0.003537 -0.020199 -4.991
55120.840937 -6.142 0.82 -0.004095 -0.017365 -4.991
55121.795277 -3.466 0.721 -0.007656 -0.019724 -4.9888
55122.845022 -2.543 0.707 -0.000478 -0.012284 -4.9853
55123.841223 -3.452 0.7 -0.002565 -0.020507 -4.9874
55330.018339 -1.31 0.7 0.003121 -0.002141 -4.975
55330.137457 -3.849 0.7 -0.001753 -0.016936 -4.9869
55330.243576 -1.113 0.7 0.001467 -0.005324 -4.9728
55331.162589 -1.178 0.679 0.0025 -0.004542 -4.9765
55332.04958 -2.624 0.679 0.001262 -0.010775 -4.978
55332.223383 -3.99 0.679 0.002944 -0.008566 -4.9787
55333.21593 -1.353 0.666 0.000928 -0.006558 -4.9768
55334.128354 -1.745 0.659 0.001142 -0.011546 -4.9776
55334.234884 -3.971 0.714 0.000646 -0.019494 -4.9889
55335.151821 -2.135 0.7 0.001268 -0.016244 -4.9872
55335.267575 -2.618 0.721 0.000309 -0.016076 -4.9837
55336.041557 -4.427 0.721 0.000722 -0.014716 -4.9909
55336.1253 -1.486 0.751 0.000469 -0.014295 -4.9857
55336.244828 -1.706 0.82 -0.000765 -0.0177 -4.9833
55339.156289 -3.598 0.766 -0.001761 -0.018851 -4.9919
55339.253297 -2.567 0.736 -0.000213 -0.01555 -4.9875
55340.226488 -1.745 0.812 0.001846 -0.017684 -4.9899
55353.025783 -1.436 0.766 -0.000265 -0.010098 -4.9803
55353.104579 -0.374 0.61 -0.000731 -0.004641 -4.9725
55353.200328 -1.988 0.616 -0.001262 -0.00973 -4.9776
55354.010307 -0.427 0.594 -0.00037 -0.010072 -4.9747
55354.106879 -1.913 0.594 0.000429 -0.009054 -4.9779
55355.01963 -0.461 0.594 0.002737 -0.003362 -4.9722
55355.116237 -0.636 0.594 0.000433 -0.00287 -4.9728
55355.209476 -0.521 0.605 0.000302 -0.008695 -4.9738
55355.966294 0.38 0.605 0.002673 -0.003283 -4.9707
55356.072086 -2.942 0.804 -0.001195 -0.012384 -4.983
55356.170585 1.449 0.766 0.000185 -0.007627 -4.9693
55357.076719 -2.895 0.61 0.000196 -0.011504 -4.9827
55376.933371 -1.658 0.605 0.000694 -0.002946 -4.9682
55377.030201 -6.52 0.628 -0.002838 -0.011151 -4.9851
55377.134044 -3.289 0.622 -0.001016 -0.008762 -4.9783
55378.047301 -1.727 0.634 -0.002577 -0.006086 -4.9723
55378.12663 -4.842 0.64 -0.005085 -0.011273 -4.9763
55378.179361 -3.734 0.64 -0.001901 -0.013611 -4.9826
55379.978787 0.18 0.647 -0.001585 0.007024 -4.9676
55380.075188 -5.359 0.653 -0.00286 -0.01333 -4.9774
55380.151345 -3.87 0.653 0.000517 -0.007578 -4.9753
55381.0116 -3.094 0.634 -0.001461 -0.00237 -4.9704
55381.969885 -0.558 0.653 0.001603 -0.00125 -4.9663
55382.065163 -5.526 0.653 -0.003133 -0.008364 -4.9795
55382.154364 -3.968 0.673 0.000718 -0.00114 -4.9711
55382.935611 -2.753 0.653 0.00184 -0.000868 -4.9664
55383.051954 -6.37 0.64 -0.001602 -0.007329 -4.9774
55383.122509 -5.5 0.634 -0.001539 -0.003378 -4.9734
55384.909686 -4.548 0.653 -0.000453 -0.005838 -4.9808
55385.018609 -5.647 0.634 0.002162 -0.007368 -4.973
55385.064581 -4.404 0.622 0.002693 0.004493 -4.9682
55388.00439 -7.514 0.659 -0.000784 -0.016662 -4.9868
55388.060073 -6.949 0.666 0.003516 -0.004384 -4.9765
55389.099168 -8.086 0.653 0.000789 -0.017614 -4.9896
55389.866147 -5.544 0.736 0.00144 -0.010871 -4.9811
55390.056445 -7.849 0.61 -0.002714 -0.013079 -4.9842
55390.122891 -5.937 0.616 -0.000148 -0.012729 -4.9828
55390.90932 -5.437 0.721 0.002135 -0.014948 -4.9833
55391.030527 -8.113 0.707 0.00106 -0.023585 -4.9924
55391.110051 -6.094 0.995 -0.001344 -0.013575 -4.9827
55391.911431 -5.491 0.82 -0.001442 -0.012852 -4.9851
55391.998264 -6.362 0.64 0.001354 -0.013857 -4.9829
55392.072117 -7.897 0.647 -0.001555 -0.01785 -4.9893
55392.894937 -6.677 0.789 -0.002 -0.013327 -4.9792
55393.05167 -7.882 0.86 -9.9e-05 -0.014848 -4.9909
55393.125198 -8.323 0.622 -0.001066 -0.019624 -4.9899
55393.940355 -7.652 0.628 -0.001919 -0.02192 -4.9902
55394.036788 -9.356 0.634 -0.000853 -0.017954 -4.9948
55394.826365 -5.545 0.64 -0.001826 -0.013308 -4.9815
55394.941432 -6.04 0.634 -0.001566 -0.013062 -4.9857
55395.04864 -5.757 0.622 -0.003014 -0.015164 -4.989
55403.807554 -3.957 0.622 -0.002207 -0.016917 -4.987
55403.991078 -2.029 0.7 0.001519 -0.015765 -4.9836
55406.81024 -2.774 0.616 0.000597 -0.019683 -4.9894
55406.915135 -3.94 0.673 -0.003584 -0.023375 -4.999
55407.933788 -1.779 0.666 -0.000325 -0.015554 -4.9861
55407.997438 -5.302 0.659 -0.00404 -0.025339 -4.9969
55408.075394 -4.085 0.647 -0.003459 -0.026349 -4.9983
55408.936436 -2.181 0.653 -0.000383 -0.018229 -4.9906
55409.005573 -2.922 0.659 -0.003627 -0.015321 -4.9883
55409.072156 -2.089 0.659 -0.00039 -0.01835 -4.9926
55414.84828 1.301 0.686 -0.001081 -0.017052 -4.987
55414.967104 -2.376 0.666 -0.002584 -0.020038 -4.9929
55415.073436 -2.253 0.647 -0.002782 -0.020567 -4.9905
55415.855465 0.466 0.653 -0.002428 -0.019519 -4.989
55415.914594 -0.263 0.729 -0.003476 -0.016477 -4.9902
55416.031543 0.143 0.653 -0.002102 -0.013103 -4.9809
55416.851683 -2.416 0.666 -0.00424 -0.024582 -4.9926
55416.924757 -2.222 0.653 -0.003474 -0.019305 -4.9942
55417.045538 0.059 0.647 -0.001503 -0.015349 -4.9892
55417.864692 -2.376 0.64 -0.00367 -0.017168 -4.9905
55417.94379 -2.068 0.679 -0.001504 -0.022913 -4.9929
55418.04706 -1.114 0.686 -0.003705 -0.022277 -4.9933
55418.869234 -3.975 0.714 -0.003487 -0.027062 -4.9993
55418.943084 -1.623 0.653 -0.004829 -0.019205 -4.9936
55419.026088 -2.322 0.659 -0.002652 -0.022933 -4.995
55419.886708 -1.187 0.673 -0.004607 -0.015866 -4.9909
55419.980319 -3.312 0.659 -0.002916 -0.026525 -4.9988
55420.024547 -0.77 0.64 -0.003228 -0.016196 -4.9913
55423.829024 -1.926 0.628 -0.004021 -0.019619 -4.9957
55423.927403 0.185 0.634 0.000753 -0.012558 -4.9794
55423.99392 0.26 0.693 -0.000409 -0.013048 -4.98
55424.785997 -1.942 0.673 -0.002522 -0.018256 -4.985
55424.925821 -2.371 0.659 -0.003588 -0.017777 -4.9882
55425.018928 0.714 0.7 -0.001662 -0.010357 -4.979
55425.783367 0.677 0.714 6.7e-05 -0.012771 -4.9808
55425.914967 -0.904 0.7 -0.000969 -0.014556 -4.9836
55426.817052 0.354 0.686 -0.003984 -0.016033 -4.9829
55426.926998 -1.133 0.659 -0.003964 -0.01582 -4.9874
55427.022558 -0.119 0.659 -0.004432 -0.011408 -4.9826
55430.838778 1.634 0.653 -0.002305 -0.008868 -4.9804
55430.964497 -3.691 0.666 -0.005024 -0.021563 -4.99
55431.017541 -3.733 0.729 -0.002322 -0.018677 -4.9919
55433.808238 -1.255 0.714 -0.002131 -0.01303 -4.9778
55433.95338 -1.826 0.707 -0.001471 -0.016595 -4.9854
55434.017174 -0.229 0.721 -0.001751 -0.012517 -4.9777
55434.811144 -1.734 0.751 -0.004751 -0.018707 -4.99
55434.905077 -0.677 0.751 -0.004321 -0.017864 -4.987
55434.999173 -1.19 0.736 -0.004276 -0.014646 -4.9836
55435.818934 -1.873 0.736 -0.004842 -0.015852 -4.9837
55435.956377 -3.398 0.729 -0.00107 -0.016665 -4.9893
55436.0179 -5.771 0.828 -0.004903 -0.020993 -4.9914
55436.811937 -1.884 0.781 -0.005737 -0.014786 -4.9877
55436.910977 -2.208 0.812 0.000522 -0.016112 -4.9815
55436.995447 -0.893 0.828 -0.003282 -0.012111 -4.9838
55437.819963 -3.867 0.789 -0.00247 -0.018558 -4.989
55437.927964 -2.329 0.673 -0.001026 -0.014482 -4.986
55438.022823 -1.043 0.666 -0.001964 -0.007732 -4.9817
55438.786768 -1.544 0.653 -0.002058 -0.011504 -4.9798
55438.893985 -2.998 0.666 -0.00272 -0.01365 -4.9847
55438.98242 -3.043 0.679 -0.003759 -0.013413 -4.9863
55439.78802 -2.449 0.666 -0.000675 -0.012025 -4.9849
55439.864677 -4.009 0.729 -0.001077 -0.014172 -4.9861
55440.78787 -4.32 0.736 -0.000609 -0.01323 -4.9866
55440.870623 -3.02 0.804 0.001467 -0.008659 -4.98
55440.953857 -4.978 0.7 -0.002209 -0.017341 -4.9882
55441.811545 -2.681 0.758 -0.000354 -0.006338 -4.9763
55441.965982 -4.856 0.901 -0.000845 -0.009489 -4.982
55443.789133 -3.284 0.686 -0.000229 -0.010502 -4.9788
55443.863195 -3.217 0.679 0.000228 -0.009342 -4.9765
55443.957449 -2.512 0.751 0.001025 -0.010895 -4.9796
55444.814536 -4.546 0.686 -0.00121 -0.01246 -4.9812
55444.90618 -2.785 0.773 4e-04 -0.011561 -4.9797
55444.965434 -4.119 0.751 0.000896 -0.009788 -4.9777
55460.811177 -5.838 0.758 -0.001664 -0.012566 -4.9813
55460.911908 -4.57 0.729 0.000848 -0.007325 -4.9796
55461.823753 -8.058 0.773 -0.003077 -0.012636 -4.985
55461.912941 -6.502 0.707 -0.002484 -0.013429 -4.9827
55462.799495 -6.876 0.766 -0.001441 -0.011654 -4.9833
55462.872814 -7.27 0.693 -0.000614 -0.015749 -4.9841
55463.788665 -5.031 0.707 -0.001841 -0.012525 -4.9837
55463.879675 -4.617 0.707 -0.00081 -0.011668 -4.9803
55464.78059 -4.809 0.781 0.001806 -0.014064 -4.9816
55464.873463 -6.811 0.647 -0.003206 -0.015268 -4.988
55465.78494 -5.405 0.622 -0.003758 -0.015587 -4.9893
55465.900943 -4.858 0.622 -0.002663 -0.010366 -4.9818
55466.78493 -6.335 0.7 -0.002994 -0.021325 -4.9902
55466.917806 -3.664 0.707 -0.004301 -0.014713 -4.986
55467.785677 -5.256 0.628 -0.002057 -0.012474 -4.9787
55467.873168 -5.554 0.7 -0.00282 -0.020315 -4.9902
55468.784775 -2.913 0.679 -0.00159 -0.014008 -4.9842
55468.884793 -5.155 0.594 -0.001757 -0.016343 -4.9874
55469.783542 -4.327 0.588 -0.003012 -0.011939 -4.985
55469.909352 -3.888 0.599 -0.000323 -0.011975 -4.9809
55472.832218 -2.225 0.605 0.001201 -0.010691 -4.9799
55472.909745 -3.085 0.599 -0.002323 -0.011087 -4.9782
55473.839503 -5.146 0.599 -0.002811 -0.019259 -4.9888
55473.886871 -5.241 0.594 -0.004472 -0.020697 -4.9896
55474.840121 -2.612 0.599 -0.001209 -0.012444 -4.979
55474.888525 -1.819 0.628 0.000773 -0.010236 -4.976
55475.829503 -4.177 0.634 -0.001506 -0.013317 -4.988
55475.891857 -1.864 0.61 -0.000834 -0.009758 -4.9799
55477.818681 -1.195 0.616 0.000261 -0.009127 -4.9814
55477.877159 -1.381 0.7 -0.000705 -0.005649 -4.9794
55478.812889 -2.501 0.766 -0.000212 -0.013802 -4.984
55478.89869 1.661 0.673 0.000199 -0.006824 -4.9765
55479.84071 -2.966 0.673 -0.003255 -0.01471 -4.9874
55479.900692 -1.014 0.693 0.000715 -0.011643 -4.9823
55480.810603 -2.744 0.751 -0.001878 -0.017246 -4.9894
55480.888084 -1.097 0.647 -0.001911 -0.018056 -4.9867
55481.827337 -2.464 0.653 -0.003471 -0.021974 -4.9956
55481.875313 -2.784 0.707 -0.003357 -0.01804 -4.9904
