Time RV eRV BIS FWHM S-index
56424.004962 -1.992 1.839 0.008253 -0.022221 -4.9554
56424.111882 -1.17 1.887 -0.002412 -0.03486 -4.9691
56424.213162 -6.11 2.13 -0.004207 -0.036824 -4.9713
56425.021352 -3.553 2.51 -0.008887 -0.020816 -4.9725
56425.226332 -9.792 2.1 0.004965 -0.032303 -4.9793
56426.012092 -10.85 2.305 -0.004547 -0.035875 -4.969
56426.140802 -8.911 1.887 -0.001118 -0.028503 -4.9633
56426.219122 -10.771 2.013 -0.015344 -0.030526 -4.9807
56427.010162 0.302 2.726 -0.004189 -0.024721 -4.9618
56427.094042 -4.34 1.878 -0.006457 -0.018513 -4.9601
56428.014592 -6.47 1.753 -0.003308 -0.021149 -4.9671
56428.095062 -3.769 1.955 -0.005801 -0.021232 -4.9603
56428.188912 -2.478 1.724 -0.012144 -0.033258 -4.9722
56429.080752 -15.009 1.859 -0.003155 -0.00992 -4.9753
56429.185092 -15.4 1.638 0.002272 -0.020726 -4.9573
56430.099842 -20.306 1.984 0.002402 -0.023366 -4.9791
56431.022962 -7.028 2.12 0.002897 -0.027058 -4.9724
56431.114622 -14.236 1.984 0.005478 -0.035907 -4.9847
56431.173412 -13.157 2.071 -1e-05 -0.031642 -4.9734
56432.009732 -10.296 2.071 0.002378 -0.027146 -4.9732
56432.097152 -12.5 2.11 0.001415 -0.030261 -4.9748
56432.178262 -9.905 2.071 -0.000402 -0.033471 -4.9734
56433.005982 -15.189 2.159 -0.002331 -0.037336 -4.9799
56433.098342 -19.182 1.868 0.002585 -0.035044 -4.9808
56433.174202 -15.405 1.887 -0.000581 -0.037017 -4.9702
56434.027452 -13.575 2.081 -7.8e-05 -0.038588 -4.9909
56434.167552 -11.929 1.965 -0.001593 -0.047857 -4.9972
56434.998152 -3.542 1.839 -0.010328 -0.037299 -4.9951
56435.089522 -5.254 2.442 -0.003499 -0.058946 -4.9919
56435.179252 -0.581 2.149 -0.007098 -0.035476 -4.9703
56436.014582 -10.081 2.54 -1.2e-05 -0.038039 -4.9726
56436.104652 -9.592 1.936 -0.003051 -0.045349 -4.9799
56436.160502 -13.195 1.705 -8.1e-05 -0.034769 -4.9975
56437.014212 -15.689 1.907 -0.00299 -0.042689 -5.0022
56437.081442 -20.697 2.013 -0.010901 -0.039843 -4.9888
56437.159722 -18.852 2.295 -0.006462 -0.044692 -4.9971
